Scenario description,Scenario short description,Demand allocation method,Synthetic population scenario,Service duration calculation,Offload location,Number of street segments to service,Total distance (km) of street segments to service,Number of households serviced,Number of required vehicles,Number of required routes,Total route duration (h),Total route distance (km)
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_090,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38619,2,8,77.98,733.96
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_091,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38750,2,8,77.62,730.53
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_092,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38667,2,8,78.03,751.58
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_093,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38665,2,8,77.99,742.14
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_094,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38610,2,8,78.21,744.1
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_095,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38632,2,8,78.37,746.89
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_096,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38652,2,8,78.06,746.24
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_097,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38703,2,8,78.37,736.69
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_098,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38728,2,8,77.87,726.71
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_099,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38681,2,8,78.08,728.69
Synthetic population allocated to any nearest street | centralised offload | fixed 5km/h service speed for entire require arc | demand based on synthetic population households,"Syn household demand to closest street, fixed speed, centralised",individual households,households_100,fixed 5km/h service speed for entire required arc or edge,centralised,3206,348.08646607042385,38649,2,8,78.25,745.16
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_001,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40939,2,9,85.84,807.13
"All 'living_street' or 'residential' streets require service | centralised offload | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, centralised",aggregated total demand assigned to required edges and arcs based on their length,households_002,fixed 5km/h service speed for entire required arc or edge,centralised,4140,392.37533336733867,40881,2,8,83.26,796.05
