Scenario description,Scenario short description,Demand allocation method,Synthetic population scenario,Service duration calculation,Offload location,Number of street segments to service,Total distance (km) of street segments to service,Number of households serviced,Number of required vehicles,Number of required routes,Total route duration (h),Total route distance (km)
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_017,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41234,3,15,148.36,838.34
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_018,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41059,3,15,146.66,837.63
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_019,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41074,3,15,149.76,821.53
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_020,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,40612,3,15,149.36,862.59
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_021,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41076,3,15,147.06,850.38
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_022,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41139,3,15,147.88,821.31
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_023,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41055,3,15,148.3,823.06
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_024,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41064,3,15,146.59,832.12
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_025,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41210,3,15,148.01,810.31
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_026,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41201,3,15,148.06,820.71
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_027,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41124,3,15,147.3,801.85
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_028,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,40720,3,15,147.87,825.99
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_029,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41179,3,15,148.23,839.86
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_030,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41210,3,15,147.87,822.47
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_031,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41159,3,15,148.02,821.44
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_032,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41077,3,15,147.29,801.75
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_033,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41128,3,15,148.09,822.28
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_034,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41129,3,15,148.82,837.49
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_035,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41023,3,15,147.0,854.43
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_036,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41048,3,15,148.3,833.45
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_037,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41079,3,15,148.54,827.05
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_038,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41214,3,15,148.07,824.66
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_039,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41142,3,15,148.6,842.67
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_040,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41046,3,15,146.89,850.97
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_041,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,40985,3,15,147.12,807.19
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_042,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41011,3,15,146.1,821.41
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_043,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41155,3,15,147.68,812.09
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_044,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41107,3,15,147.83,806.26
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_045,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41163,3,15,147.02,843.1
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_046,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41105,3,15,147.89,829.98
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_047,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41104,3,15,146.81,836.18
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_048,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41074,3,15,147.96,815.36
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_049,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41034,3,15,146.13,820.35
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_050,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41154,3,15,148.33,827.91
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_051,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41176,3,15,146.18,817.49
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_052,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41070,3,15,146.54,837.98
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_053,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41020,3,15,147.29,802.4
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_054,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41177,3,15,146.06,810.32
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_055,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41152,3,15,147.33,856.6
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_056,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41109,3,15,147.66,817.34
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_057,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41143,3,15,147.92,826.65
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_058,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41153,3,15,148.28,828.05
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_059,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41049,3,15,147.75,814.0
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_060,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41100,3,15,146.07,814.1
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_061,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41059,3,15,148.74,853.06
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_062,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41324,3,15,147.95,807.34
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_063,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41041,3,15,145.95,817.8
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_064,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41139,3,15,147.59,815.76
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_065,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41138,3,15,146.71,827.23
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_066,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41173,3,15,147.78,806.72
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_067,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41193,3,15,148.23,828.82
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_068,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41128,3,15,148.91,844.07
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_069,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,40597,3,15,148.44,855.47
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_070,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41179,3,15,147.98,812.57
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_071,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,40561,3,15,147.92,817.8
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_072,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41197,3,15,148.42,833.07
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_073,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41075,3,15,148.13,826.94
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_074,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41111,3,15,148.52,834.76
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_075,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41135,3,15,147.51,821.97
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_076,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41067,3,15,148.49,825.22
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_077,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41152,3,15,147.99,829.32
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_078,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41064,3,15,148.43,813.81
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_079,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41094,3,15,147.63,825.78
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_080,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41110,3,15,147.61,832.58
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_081,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41125,3,15,148.58,845.76
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_082,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41078,3,15,148.79,835.74
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_083,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41076,3,15,148.43,832.66
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_084,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41126,3,15,148.09,818.17
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_085,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41054,3,15,146.76,832.85
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_086,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41173,3,15,148.22,820.56
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_087,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41128,3,15,148.34,820.31
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_088,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41223,3,15,148.26,820.65
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_089,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41104,3,15,148.07,829.1
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_090,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41081,3,15,148.44,834.08
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_091,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,40700,3,15,148.77,831.99
"All 'living_street' or 'residential' streets require service | decentralised offload that is 52.5min away from area | fixed 5km/h service speed for entire require arc | total for area, based on sum of synthetic population demand, assigned to each street or arc based on their length","OSM street demand, fixed speed, decentralised",aggregated total demand assigned to required edges and arcs based on their length,households_092,fixed 5km/h service speed for entire required arc or edge,decentralised,4140,392.37533336733867,41132,3,15,147.99,811.57
